order,contents,kind,manuscript
4.1.2.3.13,שהן,word,K
4.1.2.3.14,מועדין,word,K
4.1.2.3.15,הכלב,word,K
4.1.2.3.16,שנטל,word,K
4.1.2.3.17,חררה,word,K
4.1.2.3.18,והלך,word,K
4.1.2.3.19,לגדיש,word,K
4.1.2.3.20,אכל,word,K
4.1.2.3.21,החררה,word,K
4.1.2.3.22,והדליק,word,K
4.1.2.3.23,הגדיש,word,K
4.1.2.3.24,על,word,K
4.1.2.3.25,החררה,word,K
4.1.2.3.26,משלם,word,K
4.1.2.3.27,נזק,word,K
4.1.2.3.28,שלם,word,K
4.1.2.3.29,ועל,word,K
4.1.2.3.30,הגדיש,word,K
4.1.2.3.31,משלם,word,K
4.1.2.3.32,חצי,word,K
4.1.2.3.33,נזק,word,K
4.1.2.4,ab,misnhah,K
4.1.2.4.1,איזה,word,K
4.1.2.4.2,הוא,word,K
4.1.2.4.3,תם,word,K
4.1.2.4.4,ואיזה,word,K
4.1.2.4.5,הוא,word,K
4.1.2.4.6,מועד,word,K
4.1.2.4.7,מועד,word,K
4.1.2.4.8,כל,word,K
4.1.2.4.9,שהעידו,word,K
4.1.2.4.10,בו,word,K
4.1.2.4.11,שלשה,word,K
4.1.2.4.12,ימים,word,K
4.1.2.4.13,ותם,word,K
4.1.2.4.14,משיחזור,word,K
4.1.2.4.15,בו,word,K
4.1.2.4.16,שלשה,word,K
4.1.2.4.17,ימים,word,K
4.1.2.4.18,דברי,word,K
4.1.2.4.19,רבי,word,K
4.1.2.4.20,יהודה,word,K
4.1.2.4.21,רבי,word,K
4.1.2.4.22,מאיר,word,K
4.1.2.4.23,אומר,word,K
4.1.2.4.24,מועד,word,K
4.1.2.4.25,שהעידו,word,K
4.1.2.4.26,בו,word,K
4.1.2.4.27,שלש,word,K
4.1.2.4.28,פעמים,word,K
4.1.2.4.29,ותם,word,K
4.1.2.4.30,כל,word,K
4.1.2.4.31,שיהו,word,K
4.1.2.4.32,התינוקות,word,K
4.1.2.4.33,ממשמשין,word,K
4.1.2.4.34,בו,word,K
4.1.2.4.35,ואינו,word,K
4.1.2.4.36,נוגח,word,K
4.1.2.5,ab,misnhah,K
4.1.2.5.1,שור,word,K
4.1.2.5.2,המזיק,word,K
4.1.2.5.3,ברשות,word,K
4.1.2.5.4,הנזק,word,K
4.1.2.5.5,כיצד,word,K
4.1.2.5.6,נגח,word,K
4.1.2.5.7,נגף,word,K
4.1.2.5.8,נשך,word,K
4.1.2.5.9,רבץ,word,K
4.1.2.5.10,בעט,word,K
4.1.2.5.11,ברשות,word,K
4.1.2.5.12,הרבים,word,K
4.1.2.5.13,משלם,word,K
4.1.2.5.14,חצי,word,K
4.1.2.5.15,נזק,word,K
4.1.2.5.16,ברשות,word,K
4.1.2.5.17,הניזק,word,K
