order,contents,kind,manuscript
4.1.2.4.2,הוא,word,psV
4.1.2.4.3,תם,word,psV
4.1.2.4.4,ואיזה,word,psV
4.1.2.4.5,הוא,word,psV
4.1.2.4.6,מועד,word,psV
4.1.2.4.7,מועד,word,psV
4.1.2.4.8,כל,word,psV
4.1.2.4.9,שהעידו,word,psV
4.1.2.4.10,בו,word,psV
4.1.2.4.11,שלשה,word,psV
4.1.2.4.12,ימים,word,psV
4.1.2.4.13,ותם,word,psV
4.1.2.4.14,משיחזור,word,psV
4.1.2.4.15,בו,word,psV
4.1.2.4.16,שלשה,word,psV
4.1.2.4.17,ימים,word,psV
4.1.2.4.18,דברי,word,psV
4.1.2.4.19,רבי,word,psV
4.1.2.4.20,יהודה,word,psV
4.1.2.4.21,רבי,word,psV
4.1.2.4.22,מאיר,word,psV
4.1.2.4.23,אומר,word,psV
4.1.2.4.24,מועד,word,psV
4.1.2.4.25,שהעידו,word,psV
4.1.2.4.26,בו,word,psV
4.1.2.4.27,שלש,word,psV
4.1.2.4.28,פעמים,word,psV
4.1.2.4.29,ותם,word,psV
4.1.2.4.30,כל,word,psV
4.1.2.4.31,שיהו,word,psV
4.1.2.4.32,התינוקות,word,psV
4.1.2.4.33,ממשמשין,word,psV
4.1.2.4.34,בו,word,psV
4.1.2.4.35,ואינו,word,psV
4.1.2.4.36,נוגח,word,psV
4.1.2.5,ab,milestone,psV
4.1.2.5.1,שור,word,psV
4.1.2.5.2,המזיק,word,psV
4.1.2.5.3,ברשות,word,psV
4.1.2.5.4,הנזק,word,psV
4.1.2.5.5,כיצד,word,psV
4.1.2.5.6,נגח,word,psV
4.1.2.5.7,נגף,word,psV
4.1.2.5.8,נשך,word,psV
4.1.2.5.9,רבץ,word,psV
4.1.2.5.10,בעט,word,psV
4.1.2.5.11,ברשות,word,psV
4.1.2.5.12,הרבים,word,psV
4.1.2.5.13,משלם,word,psV
4.1.2.5.14,חצי,word,psV
4.1.2.5.15,נזק,word,psV
4.1.2.5.16,ברשות,word,psV
4.1.2.5.17,הניזק,word,psV
4.1.2.5.18,רבי,word,psV
4.1.2.5.19,טרפון,word,psV
4.1.2.5.20,אומר,word,psV
4.1.2.5.21,נזק,word,psV
4.1.2.5.22,שלם,word,psV
4.1.2.5.23,וחכמים,word,psV
4.1.2.5.24,אומרים,word,psV
4.1.2.5.25,חצי,word,psV
4.1.2.5.26,נזק,word,psV
4.1.2.5.27,אמר,word,psV
4.1.2.5.28,להם,word,psV
4.1.2.5.29,רבי,word,psV
4.1.2.5.30,טרפון,word,psV
4.1.2.5.31,ומה,word,psV
4.1.2.5.32,במקום,word,psV
4.1.2.5.33,שהקל,word,psV
4.1.2.5.34,על,word,psV
4.1.2.5.35,השן,word,psV
4.1.2.5.36,ועל,word,psV
4.1.2.5.37,הרגל,word,psV
4.1.2.5.38,ברשות,word,psV
4.1.2.5.39,הרבים,word,psV
4.1.2.5.40,שהוא,word,psV
4.1.2.5.41,פטור,word,psV
4.1.2.5.42,החמיר,word,psV
4.1.2.5.43,עליהם,word,psV
4.1.2.5.44,ברשות,word,psV
4.1.2.5.45,הניזק,word,psV
4.1.2.5.46,לשלם,word,psV
4.1.2.5.47,נזק,word,psV
4.1.2.5.48,שלם,word,psV
4.1.2.5.49,מקום,word,psV
4.1.2.5.50,שהחמיר,word,psV
4.1.2.5.51,על,word,psV
4.1.2.5.52,הקרן,word,psV
4.1.2.5.53,ברשות,word,psV
4.1.2.5.54,הרבים,word,psV
4.1.2.5.55,לשלם,word,psV
4.1.2.5.56,חצי,word,psV
4.1.2.5.57,נזק,word,psV
4.1.2.5.58,אינו,word,psV
4.1.2.5.59,דין,word,psV
4.1.2.5.60,שנחמיר,word,psV
4.1.2.5.61,עליה,word,psV
4.1.2.5.62,ברשות,word,psV
4.1.2.5.63,הניזק,word,psV
4.1.2.5.64,לשלם,word,psV
4.1.2.5.65,נזק,word,psV
4.1.2.5.66,שלם,word,psV
4.1.2.5.67,אמרו,word,psV
4.1.2.5.68,לו,word,psV
4.1.2.5.69,דיו,word,psV
4.1.2.5.70,לבא,word,psV
4.1.2.5.71,מן,word,psV
4.1.2.5.72,הדין,word,psV
4.1.2.5.73,להיות,word,psV
4.1.2.5.74,כנדון,word,psV
4.1.2.5.75,מה,word,psV
4.1.2.5.76,ברשות,word,psV
4.1.2.5.77,הרבים,word,psV
4.1.2.5.78,חצי,word,psV
4.1.2.5.79,נזק,word,psV
4.1.2.5.80,אף,word,psV
4.1.2.5.81,ברשות,word,psV
4.1.2.5.82,הניזק,word,psV
4.1.2.5.83,חצי,word,psV
4.1.2.5.84,נזק,word,psV
4.1.2.5.85,אמר,word,psV
4.1.2.5.86,להם,word,psV
4.1.2.5.87,אני,word,psV
4.1.2.5.88,לא,word,psV
4.1.2.5.89,אדון,word,psV
4.1.2.5.90,קרן,word,psV
4.1.2.5.91,מקרן,word,psV
4.1.2.5.92,אני,word,psV
4.1.2.5.93,אדון,word,psV
4.1.2.5.94,קרן,word,psV
4.1.2.5.95,מרגל,word,psV
4.1.2.5.96,ומה,word,psV
4.1.2.5.97,אם,word,psV
4.1.2.5.98,במקום,word,psV
4.1.2.5.99,שהקל,word,psV
4.1.2.5.100,על,word,psV
4.1.2.5.101,השן,word,psV
4.1.2.5.102,ועל,word,psV
4.1.2.5.103,הרגל,word,psV
4.1.2.5.104,ברשות,word,psV
4.1.2.5.105,הרבים,word,psV
4.1.2.5.106,החמיר,word,psV
4.1.2.5.107,בקרן,word,psV
4.1.2.5.108,מקום,word,psV
4.1.2.5.109,שהחמיר,word,psV
4.1.2.5.110,על,word,psV
4.1.2.5.111,השן,word,psV
4.1.2.5.112,ועל,word,psV
4.1.2.5.113,הרגל,word,psV
4.1.2.5.114,ברשות,word,psV
4.1.2.5.115,הניזק,word,psV
4.1.2.5.116,אינו,word,psV
4.1.2.5.117,דין,word,psV
4.1.2.5.118,שנחמיר,word,psV
4.1.2.5.119,בקרן,word,psV
4.1.2.5.120,אמרו,word,psV
4.1.2.5.121,לו,word,psV
4.1.2.5.122,דיו,word,psV
4.1.2.5.123,לבא,word,psV
4.1.2.5.124,מן,word,psV
4.1.2.5.125,הדין,word,psV
4.1.2.5.126,להיות,word,psV
4.1.2.5.127,כנדון,word,psV
4.1.2.5.128,מה,word,psV
4.1.2.5.129,ברשות,word,psV
4.1.2.5.130,הרבים,word,psV
4.1.2.5.131,חצי,word,psV
4.1.2.5.132,נזק,word,psV
4.1.2.5.133,אף,word,psV
4.1.2.5.134,ברשות,word,psV
4.1.2.5.135,הניזק,word,psV
4.1.2.5.136,חצי,word,psV
4.1.2.5.137,נזק,word,psV
4.1.2.6,ab,milestone,psV
4.1.2.6.1,אדם,word,psV
4.1.2.6.2,מועד,word,psV
4.1.2.6.3,לעולם,word,psV
4.1.2.6.4,בין,word,psV
4.1.2.6.5,שוגג,word,psV
4.1.2.6.6,בין,word,psV
4.1.2.6.7,מזיד,word,psV
4.1.2.6.8,בין,word,psV
4.1.2.6.9,ער,word,psV
4.1.2.6.10,בין,word,psV
4.1.2.6.11,ישן,word,psV
4.1.2.6.12,סמא,word,psV
4.1.2.6.13,את,word,psV
4.1.2.6.14,עין,word,psV
4.1.2.6.15,חברו,word,psV
4.1.2.6.16,ושבר,word,psV
4.1.2.6.17,את,word,psV
4.1.2.6.18,הכלים,word,psV
4.1.2.6.19,משלם,word,psV
4.1.2.6.20,נזק,word,psV
4.1.2.6.21,שלם,word,psV
4.1.2.T,trailer,paratext,psV
4.1.3,div3,ms_text_structure_chapter,psV
4.1.3.H,head,paratext,psV
4.1.3.H.1,פרק,paratext,psV
4.1.3.H.2,ג,paratext,psV
4.1.3.1,ab,milestone,psV
4.1.3.1.1,המניח,word,psV
4.1.3.1.2,את,word,psV
4.1.3.1.3,הכד,word,psV
4.1.3.1.4,ברש,word,psV
4.1.3.1.5,ות,word,psV
4.1.3.1.6,הרבים,word,psV
4.1.3.1.7,ובא,word,psV
4.1.3.1.8,אחר,word,psV
4.1.3.1.9,ונתקל,word,psV
4.1.3.1.10,בה,word,psV
4.1.3.1.11,ושברה,word,psV
4.1.3.1.12,פטור,word,psV
4.1.3.1.13,ואם,word,psV
4.1.3.1.14,הזק,word,psV
4.1.3.1.15,בה,word,psV
4.1.3.1.16,בעל,word,psV
4.1.3.1.17,החבית,word,psV
4.1.3.1.18,חייב,word,psV
4.1.3.1.19,בנזקו,word,psV
4.1.3.1.20,נשברה,word,psV
4.1.3.1.21,כדו,word,psV
4.1.3.1.22,ברשות,word,psV
4.1.3.1.23,הרבים,word,psV
4.1.3.1.24,והוחלק,word,psV
4.1.3.1.25,אחד,word,psV
4.1.3.1.26,במים,word,psV
4.1.3.1.27,או,word,psV
4.1.3.1.28,שלקה,word,psV
4.1.3.1.29,בחרסיה,word,psV
4.1.3.1.30,חייב,word,psV
4.1.3.1.31,רבי,word,psV
4.1.3.1.32,יהודה,word,psV
4.1.3.1.33,אומר,word,psV
4.1.3.1.34,במתכוין,word,psV
4.1.3.1.35,חייב,word,psV
4.1.3.1.36,באינו,word,psV
4.1.3.1.37,מתכוין,word,psV
4.1.3.1.38,פטור,word,psV
4.1.3.2,ab,milestone,psV
4.1.3.2.1,השופך,word,psV
4.1.3.2.2,מים,word,psV
4.1.3.2.3,ברשות,word,psV
4.1.3.2.4,הרבים,word,psV
4.1.3.2.5,והוזק,word,psV
4.1.3.2.6,בהן,word,psV
4.1.3.2.7,אחר,word,psV
4.1.3.2.8,חייב,word,psV
4.1.3.2.9,בנזקו,word,psV
